Recipe URL,Recipe Name,Prep Time,Cook Time,Ingredient List,Equipment List
https://www.loveandlemons.com/vegetarian-stuffed-peppers/,Vegetarian Stuffed Peppers,30 minutes,30 minutes,"4 red bell peppers, halved lengthwise, seeds and membranes removed2 tablespoons avocado oil, plus more for drizzling1 medium yellow onion, chopped1 jalapeño pepper, stemmed and finely chopped4 garlic cloves, chopped2 tablespoons tomato paste2 teaspoons chili powder2 teaspoons ground cumin¾ teaspoon sea salt, plus more for sprinklingFreshly ground black pepper1½ cups cooked brown rice1½ cups cooked black beans, drained and rinsed1 cup corn kernels, fresh or frozen2 tablespoons fresh lime juice, plus wedges for serving1 teaspoon lime zest1 cup shredded pepper jack cheese*½ cup chopped fresh cilantroSalsa, optional, for servingAvocado, or guacamole, optional, for serving",N/A
https://www.loveandlemons.com/cauliflower-fried-rice/,Cauliflower Fried Rice,20 minutes,10 minutes,"2 tablespoons rice vinegar2 tablespoons tamari2 teaspoons toasted sesame oil2 teaspoons avocado oil8 ounces shiitake mushrooms, stemmed and sliced1 large carrot, diced¼ teaspoon sea salt2 garlic cloves, chopped1 tablespoon chopped fresh ginger¼ cup chopped kimchi1 small head of cauliflower, riced1 bunch scallions, chopped2 eggs, beaten½ cup frozen edamame1½ teaspoons fresh lime juiceFried eggs, for topping, optionalSesame seeds, for garnishMicrogreens, for garnishSriracha, for serving",N/A
https://www.loveandlemons.com/cauliflower-fried-rice/,Cauliflower Fried Rice,20 minutes,10 minutes,"2 tablespoons rice vinegar2 tablespoons tamari2 teaspoons toasted sesame oil2 teaspoons avocado oil8 ounces shiitake mushrooms, stemmed and sliced1 large carrot, diced¼ teaspoon sea salt2 garlic cloves, chopped1 tablespoon chopped fresh ginger¼ cup chopped kimchi1 small head of cauliflower, riced1 bunch scallions, chopped2 eggs, beaten½ cup frozen edamame1½ teaspoons fresh lime juiceFried eggs, for topping, optionalSesame seeds, for garnishMicrogreens, for garnishSriracha, for serving",N/A
https://www.loveandlemons.com/how-to-make-cauliflower-rice/,How to Make Cauliflower Rice,7 minutes,3 minutes,1 medium cauliflower,N/A
https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Soba Noodles,10 minutes,10 minutes,"¼ cup rice vinegar2 tablespoons tamari, more for serving½ teaspoon toasted sesame oil1 teaspoon grated ginger1 garlic clove, grated½ teaspoon maple syrup or honey",N/A
https://www.loveandlemons.com/sesame-soba-noodles/,Sesame Soba Noodles,10 minutes,10 minutes,"¼ cup rice vinegar2 tablespoons tamari, more for serving½ teaspoon toasted sesame oil1 teaspoon grated ginger1 garlic clove, grated½ teaspoon maple syrup or honey",N/A
https://www.loveandlemons.com/cauliflower-tacos/,Roasted Cauliflower Tacos,15 minutes,45 minutes,"1 small cauliflower, outer leaves and core discarded, cut into small florets1 pound red cabbage, thinly sliced (about 1/2 small red cabbage or 6 cups sliced)¼ cup extra-virgin olive oil1 teaspoon ground cumin1 teaspoon ground coriander1 teaspoon kosher salt",N/A
https://www.loveandlemons.com/cauliflower-tacos/,Roasted Cauliflower Tacos,15 minutes,45 minutes,"1 small cauliflower, outer leaves and core discarded, cut into small florets1 pound red cabbage, thinly sliced (about 1/2 small red cabbage or 6 cups sliced)¼ cup extra-virgin olive oil1 teaspoon ground cumin1 teaspoon ground coriander1 teaspoon kosher salt",N/A
https://www.loveandlemons.com/avocado-sauce/,Avocado Sauce,5 minutes,N/A,"1 ripe avocado, peeled, pitted, and roughly chopped1 large handful fresh cilantro, finely chopped3 tablespoons fresh lime juice3 tablespoons mayonnaise*½ teaspoon kosher salt",N/A
https://www.loveandlemons.com/pasta-primavera/,Pasta Primavera,10 minutes,20 minutes,"10 ounces penne pasta2 tablespoons extra-virgin olive oil, plus more for drizzling4 garlic cloves, sliced1 yellow squash, sliced into thin half moons1 zucchini, sliced into thin half moons1 bunch asparagus, chopped into 1-inch pieces1 cup cherry tomatoes, halved1 cup thinly sliced red onion1 teaspoon sea salt½ cup frozen peas, thawed¾ cup grated pecorino cheese3 tablespoons fresh lemon juiceRed pepper flakes1 cup fresh basil leaves, plus more for garnish¼ cup fresh tarragon, optionalFreshly ground black pepper",N/A
https://www.loveandlemons.com/pasta-primavera/,Pasta Primavera,10 minutes,20 minutes,"10 ounces penne pasta2 tablespoons extra-virgin olive oil, plus more for drizzling4 garlic cloves, sliced1 yellow squash, sliced into thin half moons1 zucchini, sliced into thin half moons1 bunch asparagus, chopped into 1-inch pieces1 cup cherry tomatoes, halved1 cup thinly sliced red onion1 teaspoon sea salt½ cup frozen peas, thawed¾ cup grated pecorino cheese3 tablespoons fresh lemon juiceRed pepper flakes1 cup fresh basil leaves, plus more for garnish¼ cup fresh tarragon, optionalFreshly ground black pepper",N/A
https://www.loveandlemons.com/bibimbap-recipe/,Bibimbap,N/A,N/A,"½ English cucumber, thinly sliced½ teaspoon rice vinegar1¼ teaspoons sesame oil, divided1 cup fresh mung bean sprouts1 cup shredded carrots4 cups baby spinach½ teaspoon tamari2 cups cooked short-grain white rice2 fried eggs,  or 1 cup cubed baked tofu4 ounces sautéed shiitake mushrooms, optional1 recipe Gochujang sauceSesame seedsSea saltKimchi, optional, for servingChopped scallions, optional, for serving",N/A
https://www.loveandlemons.com/bibimbap-recipe/,Bibimbap,N/A,N/A,"½ English cucumber, thinly sliced½ teaspoon rice vinegar1¼ teaspoons sesame oil, divided1 cup fresh mung bean sprouts1 cup shredded carrots4 cups baby spinach½ teaspoon tamari2 cups cooked short-grain white rice2 fried eggs,  or 1 cup cubed baked tofu4 ounces sautéed shiitake mushrooms, optional1 recipe Gochujang sauceSesame seedsSea saltKimchi, optional, for servingChopped scallions, optional, for serving",N/A
https://www.loveandlemons.com/fried-egg/,Fried Egg,5 minutes,5 minutes,1 large egg1 teaspoon extra-virgin olive oil or small pat of butterSea salt and freshly ground black pepper,N/A
https://www.loveandlemons.com/gochujang-sauce/,Gochujang sauce,5 minutes,N/A,2 to 3 tablespoons gochujang paste*1½ tablespoons rice vinegar1 tablespoon sesame oil1 tablespoon maple syrup,N/A
https://www.loveandlemons.com/buddha-bowl-recipe/,Best Buddha Bowl,15 minutes,20 minutes,"1 large sweet potato, cubedExtra-virgin olive oil, for drizzling1 watermelon radish or 2 red radishes2 medium carrots1 cup shredded red cabbageLemon wedge, for squeezing8 kale leaves, chopped2 cups cooked brown rice or quinoa1 cup cooked chickpeas or cooked lentils¾ cup sauerkraut or other fermented veggie2 tablespoons sesame seeds or hemp seedsTurmeric Tahini Sauce, for servingMicrogreens, optionalSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/buddha-bowl-recipe/,Best Buddha Bowl,15 minutes,20 minutes,"1 large sweet potato, cubedExtra-virgin olive oil, for drizzling1 watermelon radish or 2 red radishes2 medium carrots1 cup shredded red cabbageLemon wedge, for squeezing8 kale leaves, chopped2 cups cooked brown rice or quinoa1 cup cooked chickpeas or cooked lentils¾ cup sauerkraut or other fermented veggie2 tablespoons sesame seeds or hemp seedsTurmeric Tahini Sauce, for servingMicrogreens, optionalSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/how-to-cook-brown-rice/,How to Cook Brown Rice,5 minutes,55 minutes,"1 cup uncooked brown rice, well rinsed2 cups water1 teaspoon extra-virgin olive oil",N/A
https://www.loveandlemons.com/roasted-sweet-potatoes/,Roasted Sweet Potatoes,10 minutes,25 minutes,"4 medium sweet potatoes, cubedExtra-virgin olive oil, for drizzlingSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/tahini-sauce/,Tahini Sauce,5 minutes,N/A,"½ cup tahini*¼ cup fresh lemon juice6 tablespoons water, plus more as needed1 small garlic clove, grated or pressed½ teaspoon sea salt",N/A
https://www.loveandlemons.com/whole-roasted-cauliflower/,Whole Roasted Cauliflower,15 minutes,N/A,"1 medium cauliflower, about 2 pounds, tough outer leaves removedSea salt and freshly ground black pepperLemon wedges, for squeezingFresh cilantro, for garnish",N/A
https://www.loveandlemons.com/whole-roasted-cauliflower/,Whole Roasted Cauliflower,15 minutes,N/A,"1 medium cauliflower, about 2 pounds, tough outer leaves removedSea salt and freshly ground black pepperLemon wedges, for squeezingFresh cilantro, for garnish",N/A
https://www.loveandlemons.com/farro/,How to Cook Farro,5 minutes,25 minutes,"1 cup uncooked farro, rinsed",N/A
https://www.loveandlemons.com/shakshuka-recipe/,Best Shakshuka,10 minutes,25 minutes,"2 tablespoons extra-virgin olive oil1 cup chopped yellow onion1 red bell pepper, seeded and diced¼ teaspoon sea salt, more to tasteFreshly ground black pepper3 medium garlic cloves, minced½ teaspoon smoked paprika½ teaspoon ground cuminPinch of cayenne pepper, optional1 28-ounce can crushed tomatoes2 tablespoons harissa paste*, see note1 cup fresh spinach, chopped3 to 5 eggs⅓ cup crumbled feta cheese¼ cup fresh parsley leaves1 avocado, dicedMicrogreens for garnish, optionalToasted bread, for serving",N/A
https://www.loveandlemons.com/shakshuka-recipe/,Best Shakshuka,10 minutes,25 minutes,"2 tablespoons extra-virgin olive oil1 cup chopped yellow onion1 red bell pepper, seeded and diced¼ teaspoon sea salt, more to tasteFreshly ground black pepper3 medium garlic cloves, minced½ teaspoon smoked paprika½ teaspoon ground cuminPinch of cayenne pepper, optional1 28-ounce can crushed tomatoes2 tablespoons harissa paste*, see note1 cup fresh spinach, chopped3 to 5 eggs⅓ cup crumbled feta cheese¼ cup fresh parsley leaves1 avocado, dicedMicrogreens for garnish, optionalToasted bread, for serving",N/A
https://www.loveandlemons.com/pita-bread-recipe/,Homemade Pita Bread,20 minutes,5 minutes,"3/4 cup warm water1 package (2 1/4 teaspoons),  active dry yeast1 teaspoon plus 1 tablespoon sugar3 3/4 cups bread flour (469 grams), plus more for dusting1 1/2 teaspoons sea salt3 tablespoons extra-virgin olive oil, plus more for the bowl3/4 cup whole-milk Greek yogurt, (we use Stonyfield)",N/A
https://www.loveandlemons.com/sheet-pan-gnocchi/,Sheet Pan Gnocchi,10 minutes,30 minutes,"1 pound store-bought potato gnocchi (we like Isola)1 bunch broccolini, ends trimmed, florets cut into big pieces and stems cut into ½-inch pieces1 pint cherry tomatoes½ small red onion, thinly sliced2 garlic cloves, sliced2 tablespoons extra-virgin olive oil½ teaspoon sea salt½ teaspoon fresh thyme leaves½ teaspoon za’atar¼ teaspoon red pepper flakesFreshly ground black pepper6 ounces feta cheese, torn into 1-inch chunksFresh parsley, for garnish, optional",baking sheetParchment Paper
https://www.loveandlemons.com/sheet-pan-gnocchi/,Sheet Pan Gnocchi,10 minutes,30 minutes,"1 pound store-bought potato gnocchi (we like Isola)1 bunch broccolini, ends trimmed, florets cut into big pieces and stems cut into ½-inch pieces1 pint cherry tomatoes½ small red onion, thinly sliced2 garlic cloves, sliced2 tablespoons extra-virgin olive oil½ teaspoon sea salt½ teaspoon fresh thyme leaves½ teaspoon za’atar¼ teaspoon red pepper flakesFreshly ground black pepper6 ounces feta cheese, torn into 1-inch chunksFresh parsley, for garnish, optional",baking sheetParchment Paper
https://www.loveandlemons.com/avocado-sweet-potato-tacos/,Avocado Sweet Potato Tacos,10 minutes,20 minutes,"1 medium sweet potato, cubedExtra-virgin olive oil, for drizzling1/2 teaspoon chili powder4 to 6 tortillas, I like these white corn & wheat tortillas, or homemade tortillas1 cup black beans, cooked, drained, and rinsedLime slices, for servingSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/avocado-sweet-potato-tacos/,Avocado Sweet Potato Tacos,10 minutes,20 minutes,"1 medium sweet potato, cubedExtra-virgin olive oil, for drizzling1/2 teaspoon chili powder4 to 6 tortillas, I like these white corn & wheat tortillas, or homemade tortillas1 cup black beans, cooked, drained, and rinsedLime slices, for servingSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/pickled-red-onions/,Pickled Red Onions,5 minutes,5 minutes,2 small red onions2 cups white vinegar2 cups water⅓ cup cane sugar2 tablespoons sea salt,10-oz. Mason JarsMandoline (makes it super easy to make thin slices!)Medium Pot
https://www.loveandlemons.com/quinoa-bowl/,Mediterranean Quinoa Bowl,20 minutes,20 minutes,"3 cups cooked quinoa, from 1 cup uncooked2 Persian cucumbers, thinly sliced1 cup cherry tomatoes, halved2 avocados, dicedPickled Red OnionsFresh mint and/or parsley leavesAleppo pepperGarlic Yogurt Sauce, see note",N/A
https://www.loveandlemons.com/quinoa-bowl/,Mediterranean Quinoa Bowl,20 minutes,20 minutes,"3 cups cooked quinoa, from 1 cup uncooked2 Persian cucumbers, thinly sliced1 cup cherry tomatoes, halved2 avocados, dicedPickled Red OnionsFresh mint and/or parsley leavesAleppo pepperGarlic Yogurt Sauce, see note",N/A
https://www.loveandlemons.com/quinoa/,How to Cook Quinoa,2 minutes,25 minutes,"1 cup quinoa, rinsed1¾ cups water",Medium Pot
https://www.loveandlemons.com/quinoa-salad-recipe/,Mediterranean Quinoa Salad,20 minutes,20 minutes,"3 cups cooked quinoa1 recipe Roasted Tomatoes2 cups arugula1 cup sliced Persian cucumbers1 cup mixed fresh basil and mint leaves¾ cup crumbled feta cheese¾ cup kalamata olives, pitted and sliced½ cup diced red onion⅓ cup toasted pine nuts1 recipe Italian Dressing, plus 2 additional garlic cloves, grated½ teaspoon sea saltFreshly ground black pepperPinches of red pepper flakes1 cup roasted chickpeas",N/A
https://www.loveandlemons.com/butternut-squash-kale-quinoa-stew/,N/A,N/A,N/A,N/A,N/A
https://www.loveandlemons.com/healthy-meal-prep-ideas/,Meal Prep Ideas: Mediterranean Quinoa Salad,20 minutes,N/A,"3 cups cooked quinoa1 recipe Roasted Tomatoes1 cup sliced Persian cucumbers¾ cup crumbled feta cheese¾ cup Kalamata olives, pitted and sliced½ cup diced red onion⅓ cup toasted pine nuts1 recipe Italian Dressing, plus 2 additional garlic cloves, grated½ teaspoon sea saltFreshly ground black pepperPinches of red pepper flakes1 cup roasted chickpeas2 cups arugula1 cup mixed basil & mint",Glass Meal Prep Containers
https://www.loveandlemons.com/lentil-pasta/,Lentil Pasta,15 minutes,15 minutes,"10 ounces pappardelle pasta2 tablespoons extra-virgin olive oil, plus more for drizzling½ medium yellow onion, diced1 medium carrot, finely chopped8 ounces cremini mushrooms, stemmed and finely chopped3 garlic cloves, chopped½ teaspoon sea saltFreshly ground black pepper1 teaspoon balsamic vinegar1 teaspoon tamari1½ cups cooked green or French green lentils, from ½ cup dry24 ounces marinara sauce½ cup Parmesan cheese or vegan Parmesan, for servingFresh parsley, for garnish",N/A
https://www.loveandlemons.com/lentil-pasta/,Lentil Pasta,15 minutes,15 minutes,"10 ounces pappardelle pasta2 tablespoons extra-virgin olive oil, plus more for drizzling½ medium yellow onion, diced1 medium carrot, finely chopped8 ounces cremini mushrooms, stemmed and finely chopped3 garlic cloves, chopped½ teaspoon sea saltFreshly ground black pepper1 teaspoon balsamic vinegar1 teaspoon tamari1½ cups cooked green or French green lentils, from ½ cup dry24 ounces marinara sauce½ cup Parmesan cheese or vegan Parmesan, for servingFresh parsley, for garnish",N/A
https://www.loveandlemons.com/peanut-noodles/,Peanut Noodles,10 minutes,10 minutes,"1 recipe Peanut Sauce8 ounces dried udon or rice noodles1 tablespoon tamari½ English cucumber, julienned1 medium carrot, julienned7 ounces extra-firm tofu, cut into thin stripsFresh mint, cilantro, basil, and/or Thai basil leaves, for garnishCrushed peanuts or sesame seeds, for garnishSriracha, for serving",N/A
https://www.loveandlemons.com/peanut-noodles/,Peanut Noodles,10 minutes,10 minutes,"1 recipe Peanut Sauce8 ounces dried udon or rice noodles1 tablespoon tamari½ English cucumber, julienned1 medium carrot, julienned7 ounces extra-firm tofu, cut into thin stripsFresh mint, cilantro, basil, and/or Thai basil leaves, for garnishCrushed peanuts or sesame seeds, for garnishSriracha, for serving",N/A
https://www.loveandlemons.com/peanut-sauce/,Peanut Sauce,5 minutes,N/A,"½ cup creamy natural peanut butter2 tablespoons fresh lime juice2 tablespoons rice vinegar1 tablespoon sriracha1 tablespoon tamari1 tablespoon toasted sesame oil2 teaspoons maple syrup1 teaspoon grated fresh ginger4 to 6 tablespoons water, as needed",N/A
https://www.loveandlemons.com/roasted-broccoli/,Roasted Broccoli,5 minutes,20 minutes,"12 ounces broccoli floretsExtra-virgin olive oil, for drizzlingSea salt and freshly ground black pepperRed pepper flakes, optional",Baking Sheets (I use these nonstick ones from USA Pan Bakeware)
https://www.loveandlemons.com/portobello-mushroom-burger/,Portobello Mushroom Burger,5 minutes,13 minutes,"4 large portobello mushroomsExtra-virgin olive oil, for drizzlingBalsamic vinegar, for drizzlingTamari, for drizzlingSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/portobello-mushroom-burger/,Portobello Mushroom Burger,5 minutes,13 minutes,"4 large portobello mushroomsExtra-virgin olive oil, for drizzlingBalsamic vinegar, for drizzlingTamari, for drizzlingSea salt and freshly ground black pepper",N/A
https://www.loveandlemons.com/homemade-hamburger-buns/,Homemade Hamburger Buns,15 minutes,15 minutes,"3/4 cup warm water1 package active dry yeast (2 1/4 teaspoons)1/4 cup sugar, divided360 grams (3 cups) all-purpose flour60 grams (1/2 cup) whole wheat flour1 1/4 teaspoons sea salt2 tablespoons room temperature butter or extra-virgin olive oil1 egg* (see note)",N/A
https://www.loveandlemons.com/vegetarian-chili-recipe/,Vegetarian Chili,10 minutes,35 minutes,"2 tablespoons extra-virgin olive oil1 small yellow onion, chopped1 red bell pepper, diced2 garlic cloves, minced1 teaspoon  chili powder, optional1 teaspoon  ground cumin, optional1 (14-ounce) can diced fire-roasted tomatoes1 (14-ounce) can kidney beans, drained and rinsed1 (14-ounce) can pinto beans, drained and rinsed1 cup water or broth3 chipotle peppers from canned chipotles in adobo, diced, plus 3 tablespoons sauce*1 cup corn kernels, fresh or frozen½ teaspoon sea salt, plus more to tasteFreshly ground black pepper1 tablespoon fresh lime juice, plus wedges for serving",N/A
https://www.loveandlemons.com/vegetarian-chili-recipe/,Vegetarian Chili,10 minutes,35 minutes,"2 tablespoons extra-virgin olive oil1 small yellow onion, chopped1 red bell pepper, diced2 garlic cloves, minced1 teaspoon  chili powder, optional1 teaspoon  ground cumin, optional1 (14-ounce) can diced fire-roasted tomatoes1 (14-ounce) can kidney beans, drained and rinsed1 (14-ounce) can pinto beans, drained and rinsed1 cup water or broth3 chipotle peppers from canned chipotles in adobo, diced, plus 3 tablespoons sauce*1 cup corn kernels, fresh or frozen½ teaspoon sea salt, plus more to tasteFreshly ground black pepper1 tablespoon fresh lime juice, plus wedges for serving",N/A
https://www.loveandlemons.com/pickled-red-onions/,Pickled Red Onions,5 minutes,5 minutes,2 small red onions2 cups white vinegar2 cups water⅓ cup cane sugar2 tablespoons sea salt,10-oz. Mason JarsMandoline (makes it super easy to make thin slices!)Medium Pot
https://www.loveandlemons.com/jalapeno-cornbread/,Jalapeño Cornbread,15 minutes,20 minutes,"1 cup cornmeal1 cup plus 1 tablespoon all-purpose flour2 teaspoons baking powder½ teaspoon sea salt¼ teaspoon baking soda1 cup almond milk1 large egg¼ cup maple syrup¼ cup extra-virgin olive oil or any neutral oil4 scallions, chopped, reserve some for topping¾ cup seeded diced jalapeño peppers, 2 to 3 peppers, reserve some for topping¾ cup shredded cheddar cheese1 tablespoon butter, for greasing the panHoney Butter, for serving",N/A
